spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Eldritch Storm,10th,Lightning Bolt,30 m,1 target,-,N,"The caster hurls a bolt of lightning against the target. This Attack Spell inflicts Lightning damage and is resolved on the Bolt Spells Attack Table, with no maximum result. If the attack scores a Critical Strike of Moderate severity or higher, it will also inflict a secondary Impact Critical Strike of two severity levels lower. Additionally, if the first Critical Strike scored was of Lethal severity, the target will also suffer a Superficial Fire Critical Strike. The attack deals double damage against targets wearing metal armor.  Eldritch Tide Calling upon the power of elemental Water to conjure fog, control the tides, crush your enemies with mighty waves, and unleash the fury of the sea.",,,,eldritch-storm,Bolt,Lightning,7.6 Bolt Spells Attack Table,7.14 Lightning Critical Strikes Table,175
Eldritch Tide,1st,Conjure Water,0 (touch),10 lt/lvl,P,N,"A small stream of clear, potable water springs from the ground at the point touched by the caster. The stream produces 10 liters of water each minute, and runs until the caster concentrates or until it produces 10 liters of water per Level of the caster.",+2 Weave: the water produced by the stream is incredibly refreshing and invigorating. Any creature drinking directly from it as it flows will be healed from the Weary Condition.,,,eldritch-tide,,,,,
Eldritch Tide,2nd,Fog,30 m,3 m/lvl radius,P,N,"A heavy fog covers the Area of Effect, obscuring anything within it. The fog inflicts a -50 penalty to any ranged Attack Roll made against targets within or behind it and to vision-based Perception Rolls made in the Area of Effect. The fog will disperse normally, according to local wind and meteorological conditions.",,,,eldritch-tide,,,,,
Eldritch Tide,3rd,Waterwall,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a transparent wall of water on a solid surface or over a body of liquid (a stream, a lake, a water-filled moat, etc) within range. The wall is approximately 15 cm thick and can be up to 3 meters long and high. Attacks passing through the wall suffer a -80 penalty to their Attack Rolls. Incorporeal undead cannot cross the wall, and other creatures must spend a Full Action to pass through it.",+3 Weave: extend length of wall by 3 meters.,,,eldritch-tide,,,,,
Eldritch Tide,4th,Water Blast,30 m,1 target,-,N,"The caster shoots a blast of high-pressure water against the target. This Attack Spell inflicts Impact damage and is resolved on the Bolt Spells Attack Table, with a maximum result of 120.","+2 Weave: if the attack scores a Critical Strike, the target must also pass a Hard (-20) Athletics Roll or fall Prone (cannot be chosen more than once).",+2 Weave: increase Range by 10 meters Weave Spell Range Area of Effect Duration Save,,eldritch-tide,Bolt,Impact,7.6 Bolt Spells Attack Table,7.9 Impact Critical Strikes Table,120
Eldritch Tide,5th,Downpour,30 m,6 m radius,1 rnd/lvl,N,"A torrential rain falls in the Area of Effect for the Duration. All fires in the Area of Effect are extinguished. Sandy or earthen terrain turns to mud, becoming Arduous Terrain. Ranged and fire-based attacks within the Area of Effect suffer a -20 penalty to their Attack Rolls for the Duration.",+1 Weave: increase Area of Effect radius by 10 meters.,,,eldritch-tide,,,,,
Eldritch Tide,6th,Part Waters,3 m,30 m³,C,N,"This Spell causes water inside the Area of Effect to part, creating a corridor through it for the Duration. The water will return to its original state when the Spell expires.",+2 Weave: increase Area of Effect by 10 cubic meters.,,,eldritch-tide,,,,,
Eldritch Tide,7th,Rushing Wave,30 m,3 m × 3 m × 6 m,-,Y,"A 3-meter tall and 3-meter wide wave of cold water suddenly rushes from target body of liquid within Range, moving for 6 meters in any direction and trampling everything in its path. Mundane fires in the Area of Effect are extinguished. Creatures failing a TSR are knocked Prone and pushed out of the Area of Effect (in a direction chosen by the caster).",+2 Weave: increase wave length by 3 meters.,,,eldritch-tide,,,,,
Eldritch Tide,8th,Whirpool,30 m,6 m radius,-,N,"A powerful vortex of water surges from the ground at a chosen point within Range. This Attack Spell is resolved on the Area Spells Attack Table, with a maximum result of 130, inflicting Impact damage and affecting anyone within the Area of Effect. If there's a body of water within the Area of Effect of this Spell, creatures suffering a Critical Strike from this attack must pass a Hard (-20) Athletics Skill Roll or be Stunned and pulled for 1.5 meters towards the center of the Area of Effect and fall Prone.",+2 Weave: increase Range by 10 meters,,,eldritch-tide,Area,Impact,7.5 Area Spells Attack Table,7.9 Impact Critical Strikes Table,130
Eldritch Tide,9th,Control Waters,0 (self),10 m radius,C,N,"The caster can control any body of water within the Area of Effect for the Duration. They can decide the direction the water will flow (even making it move uphill or over walls and other obstacles) and rise or lower its level by 30 centimeters per Level of the caster. Water outside the Area of Effect is unaffected by this changes, and controlled water will return to its normal state and behavior when the Spell expires.",,,,eldritch-tide,,,,,
Eldritch Tide,10th,Tidal Wave,30 m,10 m × 10 m × 10 m,-,N,"This Spell creates a massive (10-meter high, 10-meter wide) wave, originating from target body of water within Range and travelling for 10 meters in any direction in a straight line. The wave capsizes small vessels, quenches any fire, and sweeps away any unfixed object on its path. This Attack Spell is resolved on the Area Spells Attack Table, with no maximum result, inflicting Impact damage and affecting anyone within the Area of Effect. Creatures suffering a Critical Strike from this attack are also knocked Prone and must pass a Hard (-20) Athletics Skill Roll or be pushed out of the Area of Effect (in a direction chosen by the caster).  Eldritch Visions Projecting oneself out of the body to perceive other living beings, speak with the power of the mind alone, and attune to other minds.",,,,eldritch-tide,Area,Impact,7.5 Area Spells Attack Table,7.9 Impact Critical Strikes Table,175
Eldritch Visions,1st,Beast Sight,30 m,1 target,C,N,"For the Duration, the caster can see through the eyes of target animal, as long as it remains within Range. This Spell does not grant any type of control over the animal's actions.",+3 Weave: increase Range by 30 meters.,,,eldritch-visions,,,,,
Eldritch Visions,2nd,Sense Thoughts*,0 (self),6 m radius,C,N,"For the Duration, the caster knows exactly how many sentient beings are within the Area of Effect, and is given a rough idea about their position.",+1 Weave: change Duration to 1 Round per Level.,+2 Weave: increase Area of Effect radius by 3 meters.,,eldritch-visions,,,,,
Eldritch Visions,3rd,Clairaudience,10 m,1 target,C,N,"The caster selects any point within Range. For the duration, they will be able to hear as if they were at the selected point.",+1 Weave: increase Range by 3 meters.,,,eldritch-visions,,,,,
Eldritch Visions,4th,Prescience*,30 m,1 attack,-,N,"The caster gains a glimpse of their enemy's intentions, allowing them to evade an attack they're aware of. They gain a special +50 bonus to their DEF against target attack coming from a sentient being. Weave Spell Range Area of Effect Duration Save",,,,eldritch-visions,,,,,
Eldritch Visions,5th,Far Sight,10 m,1 target,C,N,"The caster selects any point within Range. For the Duration, they will be able to see as if they were at the selected point.",+1 Weave: increase Range by 3 meters.,,,eldritch-visions,,,,,
Eldritch Visions,6th,Mind Speech,30 m,1 target,C,N,The caster can mentally speak with target sentient creature for the Duration. The conversation is silent and isn't limited by the languages known by the target or the caster.,,,,eldritch-visions,,,,,
Eldritch Visions,7th,Scrying,0 (self),caster,C,N,"By gazing upon a reflective surface (such as a mirror, a pool of clear water, or a glass sphere), the caster has a vision about a specific individual, item, or place. The caster makes an Arcana Roll, with a Difficulty based on the caster's acquaintance with the object of their scrying: On a Failure, the caster isn't able to locate the object and sees nothing. On a Critical Failure, the caster sees nothing and becomes exposed to the Darkmaster's gaze. They must roll on the Magical Resonance table, with a special +30 modifier. On a Partial Success, the caster sees what's happening to the scried object in the present for the Duration. On a Success, the caster clearly sees the object for the Duration, and is also given a general idea about its distance and direction. On an Outstanding Success, the caster also has a premonition about the object's future, gaining a magical +20 bonus to their next Roll concerning it. This Arcana roll automatically fails if the scried object isn't within 1 km per Level of the caster.",,,,eldritch-visions,,,,,
Eldritch Visions,8th,Mind Link,0 (touch),1 target,P,Y,"The caster attunes their mind with that of target sentient creature or animal. The caster can ignore Range limitations of any other Spell from this Spell Lore with an Area of Effect of “1 target”, when targeting the creature whose mind they're attuned with. Additionally, the caster can select the creature as a target for such Spells even if they don't know their current location. The caster cannot attune to multiple targets at the same time. When they cast this Spell, any previously cast Mind Link immediately expires.",,,,eldritch-visions,,,,,
Eldritch Visions,9th,Mindtraveller,0 (self),caster,1 min/lvl,N,"The caster falls into a deep trance as their consciousness leaves their body. For the Duration, the caster can move their consciousness in any direction, at a speed of 30 meters per Round, passing through walls and other physical obstacles as if they weren't there. The caster perceives the world through their consciousness but cannot otherwise interact with it in any way. The consciousness is invisible and cannot be physically harmed. If the caster's consciousness is still out of their body when this Spell expires it immediately returns to it and the caster must pass an Attack Level 10 WSR or die.",,,,eldritch-visions,,,,,
Eldritch Visions,10th,Mind Reading,3 m,1 target,1 rnd/10 fail,Y,"The caster can read the thoughts of target sentient creature and can mentally communicate with them for the Duration. Additionally, each Round the caster can either choose to learn one of the target's Passions or mentally ask them a single Yes or No question, to which the target must answer truthfully to the best of their knowledge. Scrying Modifiers Scried Object Difficulty Is known personally by the caster Standard (+0) Has been described in detail to the caster Very Hard (-30) Is only vaguely known by the caster Insane (-70) [5.2] Eldritch Wards Placing mystical wards to bar the way and protect people and places. Shielding oneself and others against magic, spells, and sorcery. Dispelling magical effects on people and things.",,,,eldritch-visions,,,,,
Eldritch Wards,1st,Alarm Ward,0 (touch),3 m radius,1 hr/lvl,N,"The caster draws a small arcane symbol on the floor or on an immovable object. For the Duration, the symbol will glow faintly whenever a sentient creature other than the caster enters the Area of Effect. The caster will instinctively be aware of each time this effect is triggered.",+1 Weave: the caster can select up to one specific individual per Level who will not trigger the ward upon entering the Area of Effect.,,,eldritch-wards,,,,,
Eldritch Wards,2nd,Magic Lock,0 (touch),1 target,1 min/lvl,N,"Target door or container is magically locked and cannot be opened for the duration, except by breaking it down.",+3 Weave: change Duration to 1 hour per Level.,+5 Weave: change Duration to 1 day per Level.,,eldritch-wards,,,,,
Eldritch Wards,3rd,Suppress Magic*,20 m,1 spell,1 rnd,Y,"Target active Spell or magical effect makes a WSR, using its caster's Level (or its Weave, if no caster is present) as its Defender Level. If the SR fails, its effects are cancelled for the Duration. The suppressed Spell will take effect again when the Duration expires (note that the elapsed time still counts against the targeted Spell's original Duration).",+3 Weave: increase Duration by one Round.,,,eldritch-wards,,,,,
Eldritch Wards,4th,Counterspell*,20 m,1 spell,-,Y,"The caster attempts to neutralize another Spell that has been cast in the same Phase, before its effects are resolved. The caster of the targeted Spell must pass a WSR. If it fails, the Spell is neutralized and fails without producing any effect. Weave Spell Range Area of Effect Duration Save",,,,eldritch-wards,,,,,
Eldritch Wards,5th,Dispel Magic,20 m,1 target,-,Y,"Target active Spell or magical effect within Range must pass a WSR, using its caster's Level (or its Weave, if no caster is present) as its Defender Level. If it fails, the Spell is dispelled and its effects immediately end.",,,,eldritch-wards,,,,,
Eldritch Wards,6th,Spell Ward,3 m,1 target,1 min/lvl,N,"For the Duration, the target gains a magical +20 bonus to all their Save Rolls against magic and to their DEF against Bolt and Area Spells.",,,,eldritch-wards,,,,,
Eldritch Wards,7th,Suppress Curse,3 m,1 target,1 hr/lvl,Y,"Target curse affecting a creature or item within Range must pass a WSR, using its Attack Level (or the Level of whoever placed it) as its Defender Level. If it fails, the effects of the curse are cancelled for the Duration. The curse will take effect again when the Spell ends.",,,,eldritch-wards,,,,,
Eldritch Wards,8th,Eldritch Wall,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a wall of shimmering light on a solid surface within Range. The wall cannot be seen through, is approximately 15 cm thick, and can be up to 3 meters long and high. Undead and summoned creatures cannot cross it, and Spells or magical effects passing through it must pass a Save Roll (using their Weave as their Defender Level) or be cancelled. Other creatures and normal attacks can pass through the wall without encountering any resistance. The wall has no effect on constant magical items, and it disappears after cancelling a total of 20 Weaves of Spells.",,,,eldritch-wards,,,,,
Eldritch Wards,9th,Glyph of Warding,0 (touch),6 m radius,Varies,N,"The caster inscribes a warding glyph on target static surface and chooses one of the following triggering conditions: a creature entering or leaving the Area of Effect; a creature touching the glyph; a creature reading it; or the passage of a specific period of time. When the glyph is triggered, it disappears with a small explosion, causing a Light Impact Critical Strike to all creatures in the Area of Effect.",,,,eldritch-wards,,,,,
Eldritch Wards,10th,Reverse Spell*,20 m,1 spell,-,Y,"The caster attempts to deflect another Spell with an Area of Effect of “1 target” that has been cast in the same Phase, turning it back on its caster. The caster of the targeted Spell must pass a WSR. If it fails, the Spell will target its caster instead of the original target. Elven Lore Gathering the Wisdom of the Stars to recall upon the Lore of the Ancients about legendary people, places, artifacts, and magics.",,,,eldritch-wards,,,,,
Elven Lore,1st,Memory Palace,0 (self),caster,-,N,The caster remembers perfectly a specific event they witnessed within 10 days per Level.,+2 Weave: the event recalled could have happened up to 3 months per Level ago.,+5 Weave: the event recalled could have happened up to 10 years per Level ago.,,elven-lore,,,,,
Elven Lore,2nd,Artificer's Lore,0 (touch),1 target,-,N,"The caster assesses the value of target gem, jewel, or crafted item (learning its Treasure Value).",+1 Weave: the caster also learns if the item is enchanted and is given a rough estimation of how powerful it is.,"+5 Weave: the caster also learns if the item has any cultural or historical value, and is given a rough idea about its significance.",,elven-lore,,,,,
Elven Lore,3rd,Lore of Words,0 (touch),1 target,-,N,"The caster learns what language target text is written in and if it has any hidden meaning. If the text's author is particularly noteworthy, the caster also learns their name and whether the text itself has any monetary value.",,,,elven-lore,,,,,
Elven Lore,4th,Mind's Knowledge,15 m,1 target,-,Y,"The caster learns if target sentient creature they can see has any knowledge about a specific topic. Additionally, if the target failed their SR, the caster can read their surface thoughts about the topic (how they feel about it; whether they deem the topic important; and whether it generates strong emotions within them).","+4 Weave: the caster peers deeper into the target's mind. If the target failed their SR, they're able to mentally ask them a single question about the chosen topic, to which the target must answer truthfully. Weave Spell Range Area of Effect Duration Save",,,elven-lore,,,,,
Elven Lore,5th,Dreams of Lore,0 (self),caster,4 hours,N,"The caster falls into a deep trance for the Duration. During the trance, the caster is oblivious to anything happening around them, but receives a vision about a significant event in the past of an item or place they can see at the time of casting.",,,,elven-lore,,,,,
Elven Lore,6th,Secrets of the Runes,0 (touch),1 target,-,N,"The caster learns the purpose of target magical or enchanted text. If the text is a magical scroll, they also learn what Spells it contains and get a special +20 bonus to their Arcana Roll to cast those Spells from that scroll.",,,,elven-lore,,,,,
Elven Lore,7th,Dark Lore,20 m,1 target,-,N,"The caster knows if target creature, item, or place they can see within the Range of this Spell is cursed or connected with the Darkmaster. If the target is cursed, they also learn the origins of the curse afflicting it and gain a +10 to their eventual SRs to resist its effects.",,,,elven-lore,,,,,
Elven Lore,8th,Hunter's Lore,20 m,1 target,-,N,"The caster identifies the nature of target creature they can see, learning what type of creature it is and its general origins. They also get an idea of the general capabilities usually possessed by creatures of that type, together with their most known weaknesses, vulnerabilities, or idiosyncrasies.",,,,elven-lore,,,,,
Elven Lore,9th,Mystical Lore*,20 m,1 target,-,N,"The caster identifies target Spell, ritual, or magical effect, learning its name, origin, Weave, and general effects.",,,,elven-lore,,,,,
Elven Lore,10th,Lore of the Ancients,0 (self),caster,4 hours,N,"The caster falls into a deep trance for the Duration, during which they enter in communion with the wise spirits of Nature. They're oblivious to anything happening around them for the Duration, but at the end of the trance they can ask a simple yes or no question about a specific subject, to which the GM must answer truthfully. Enchantment Mastering the secrets of the runes to enchant items, weapons and armors with magical qualities, or imprisoning a Spell in a rune until it's set to be released.",,,,elven-lore,,,,,
Enchantment,1st,Wizard's Staff,0 (touch),1 target,P,N,"The caster inscribes their personal rune on target wooden staff, turning it into their Wizard's Staff. The staff is considered a magical weapon for the Duration. As long as the caster holds it, they gains a special +5 bonus to all their Spell Casting Rolls. The caster can have only one active Wizard's Staff at any time. As long as this Spell is active, the caster cannot cast another Wizard's Staff Spell without dismissing it first.",+5 Weave: increase Spell Casting Rolls bonus by +5.,,,enchantment,,,,,
Enchantment,2nd,Rune of Warning,0 (touch),10 m radius,10 min/lvl,N,The caster inscribes the Rune of Warning on target object. The Rune will glow of a soft silver light if any creature of Darkness ever comes within the Area of Effect.,+2 Weave: increase Area of Effect by 10 meters.,+3 Weave: change Duration to 1 hour per Level.,,enchantment,,,,,
Enchantment,3rd,Spell Storing,0 (self),1 spell,varies,N,"The next Spell cast by the caster within the next five Rounds is stored in their Wizard's Staff. The stored Spell has no immediate effect (other than of being stored), but the caster can then release it at any time with an Half Action. Released Spells are resolved as if they were just cast and are treated as an Instantaneous Spell. When released, a Spell stops being stored. The caster cannot cast any other Spell while the Spell is stored. This Spell has no effect if the caster doesn't have a Wizard's Staff or if doesn't cast another Spell within 5 Rounds.",,,,enchantment,,,,,
Enchantment,4th,Rune of Good Luck,0 (touch),1 target,10 min/lvl,N,"The caster enchants target object, inscribing a Rune of Good Luck on it. For the Duration, the item will grant a +10 magical bonus to a selected Skill to any character using it.",+3 Weave: change Duration to 1 hour per Level.,+3 Weave: increase magical bonus granted to selected Skill by +5. Weave Spell Range Area of Effect Duration Save,,enchantment,,,,,
Enchantment,5th,Runes of Power,0 (touch),1 target,varies,N,"The caster draws a series of enchanted runes on an appropriate material (such as a stone tablet, whale bone, deer antler, or parchment scroll), inscribing a First or Second Weave Spell they know on it. The enchanted item becomes a Rune of Power, which can be used to cast the inscribed Spell once, as described in the Magic Items section.",+1 Weave: increase the maximum Weave of the inscribed Spell by one.,,,enchantment,,,,,
Enchantment,6th,Rune of Archery,0 (touch),1 target,1 rnd/lvl,N,"The caster enchants target bow, inscribing a Rune of Archery on it. For the Duration, the wielder of the enchanted bow can reload it as a Free Action.",,,,enchantment,,,,,
Enchantment,7th,Rune of Parrying,0 (touch),1 target,1 rnd/lvl,N,"The caster enchants target weapon or shield, inscribing a Rune of Parrying on it. For the Duration, when a character Parries with the enchanted object, they can apply their Parry bonus to their DEF against all melee attacks made against them that Round, regardless of their facing.",+2 Weave: the Parry bonus from the enchanted item also applies against missile attacks.,,,enchantment,,,,,
Enchantment,8th,Rune of Awe,0 (touch),1 target,1 rnd/lvl,N,"The caster enchants target helm or armor, inscribing a Rune of Awe on it. For the Duration, the wearer of the enchanted item is surrounded by an awe-inspiring aura of majesty, granting them a magical +15 bonus to their DEF and to all their Charisma Skill Rolls. Additionally, sentient creatures of Level 3 or lower cannot attack the wearer unless they pass a WSR against the wearer's Level or they are attacked first.",,,,enchantment,,,,,
Enchantment,9th,Thaumaturgy,0 (touch),1 target,1 min/lvl,N,"The caster bestows a temporary enchantment on target item, embedding a Spell they know in it. The embedded Spell must be of 4th Weave or lower, and must have a Range of 0 (self ). For the Duration, any character carrying the item will be affected by the embedded Spell as if they cast it themselves.",,,,enchantment,,,,,
Enchantment,10th,Rune of Victory,0 (touch),1 target,1 rnd/lvl,N,"The caster enchants target melee weapon, inscribing the Rune of Victory on it. For the Duration, the enchanted weapon's Length is considered to be one step longer (up to a maximum of Longest), it never Fumbles, and Critical Strikes inflicted by it never suffer from Critical Reduction due to the type or size of the creature it strikes. Healing Miraculously healing wounds; clotting blood loss; mending broken bones and injured muscles and organs; restoring one's health and vigor.",,,,enchantment,,,,,
Healing,1st,Heal,0 (touch),1 target,-,N,"Target living creature recovers up to 10% of their Total Hit Points over the course of the next minute, as if they rested for a full hour.",+1 Weave: increase amount of HPs recovered by another 10% and the recovery time by another minute.,+2 Weave: HP recovery is instantaneous instead.,,healing,,,,,
Healing,2nd,Clotting,0 (touch),1 wound,-,N,"Reduce the HP loss of target Bleeding Wound by 1 HP per Round. If this brings Bleeding to zero, the wound is considered to be healed, as if treated with a successful Healer Roll.",+1 Weave: reduce Bleeding by another 1 HP per Round.,,,healing,,,,,
Healing,3rd,Unstun*,6 m,1 target,-,N,Target creature immediately shakes off its Stunned Condition.,,,,healing,,,,,
Healing,4th,Mend Injuries,0 (touch),1 injury,-,N,Each day of rest will count as two days for the purposes of recovering from the effects of target Minor Injury (note that Injury must be treated for recovery to begin).,"+2 Weave: increase the severity of Injuries treated by this Spell by one step (from Minor to Serious, or from Serious to Crippling). Weave Spell Range Area of Effect Duration Save",,,healing,,,,,
Healing,5th,Recover*,0 (touch),1 target,C,N,"For the Duration, the target recovers 1 HP each Round. Incapacitated characters can cast this Spell on themselves and Concentrate on it as if they weren't Incapacitated.",+2 Weave: target recovers 1 more HP each Round.,,,healing,,,,,
Healing,6th,Clarity*,0 (touch),1 target,-,N,Target living creature immediately wakes from sleep or ceases to be Stunned or Incapacitated. This Spell doesn't work on characters with 0 HPs or less. Sleeping or Incapacitated characters can cast this Spell on themselves as if they were fully conscious.,,,,healing,,,,,
Healing,7th,Rejoining,0 (touch),1 injury,-,N,The caster can reattach target severed limb or body part to its original place. The target will not be immediately functioning but will be considered a Crippling Injury and will heal normally if treated.,,,,healing,,,,,
Healing,8th,Heal Injuries,0 (touch),1 injury,-,N,"This Spell immediately reduces by one step the severity of an Injury the caster is treating (from Crippling to Serious, from Serious to Minor, or from Minor to completely healed). The penalty inflicted by the Injury is reduced to the standard maximum penalty for its new Severity (-50 for Serious Injuries or -20 for Minor Injuries). Note that this Spell does not remove the need of a Healer Roll, but affects its Difficulty and the Injury recovery time.",,,,healing,,,,,
Healing,9th,Suspended Animation,0 (touch),1 target,1 day/lvl,N,"The caster puts target living creature into a deep trance. While under the effect of this Spell, the target is Incapacitated, recovers 5 HPs each Round, and halves the recovery time for any Injury it's suffering from. Additionally, for the Duration Bleeding and the Dying condition are temporarily stopped, as are the effects of any disease or poison afflicting the character (they'll resume normally as soon as the Spell ends, unless healed). This Spell ends immediately if the target recovers all their HPs and is healed of all Injuries or if they stop being Incapacitated.",,,,healing,,,,,
Healing,10th,Regenerate,0 (touch),1 injury,-,N,"This Spell replaces target lost or destroyed limb, organ, or body part. The replaced part won't be immediately functioning, but will be considered a Crippling Injury and will heal normally if treated. This Spell will prevent characters from dying from the healed wound, but it won't bring dead characters back to life.  Heroic Defense Protecting oneself from harm, strengthening the body, and deflecting attacks.",,,,healing,,,,,
Heroic Defense,1st,Battle Awareness*,0 (self),caster,1 rnd/lvl,N,"For the Duration, the caster gains a magical +20 bonus to all Assessment Rolls.",+2 Weave: the caster also gains a magical +20 bonus to their DEF against surprise attacks (cannot be chosen more than once).,,,heroic-defense,,,,,
Heroic Defense,2nd,Mystical Poise,0 (self),caster,1 min/lvl,N,"For the Duration, the caster gains a magical +10 bonus to their Armor Skill.",+1 Weave: increase bonus granted by +10.,+2 Weave: change duration to 10 minutes per Level.,,heroic-defense,,,,,
Heroic Defense,3rd,Stoneskin*,0 (self),caster,1 rnd/lvl,N,"The caster chooses either the torso, the arms, the legs, or the head. For the Duration, the chosen area of their body is treated as armored for the purpose of resolving Critical Strikes.",+2 Weave: the caster can choose an additional area.,,,heroic-defense,,,,,
Heroic Defense,4th,Impenetrable Defense*,0 (self),caster,1 rnd/lvl,N,"For the Duration, the caster gains a +25 bonus to their DEF as long as they parry with at least 50% of their CMB. Weave Spell Range Area of Effect Duration Save",,,,heroic-defense,,,,,
Heroic Defense,5th,Defender*,5 m,1 attack,-,N,"The caster moves to intercept an attack made against a creature within Range. The attack targets the caster instead of its original target, and the caster may Parry it if able to and if they haven't already Parried in this Round. This Spell automatically fails if the caster is Held or unable to move.",,,,heroic-defense,,,,,
Heroic Defense,6th,Unshakable*,0 (self),caster,1 rnd/lvl,N,The caster cannot be Stunned for the duration.,,,,heroic-defense,,,,,
Heroic Defense,7th,Shield Block*,0 (self),caster,1 rnd,N,"The first Critical Strike suffered by the caster during this Round is redirected to their shield arm. Change the Critical Strike result to the nearest result targeting the arms. If the Critical Strike would inflict an Injury, the caster may choose to ignore it. If they do, their shield is splintered by the attack instead.",,,,heroic-defense,,,,,
Heroic Defense,8th,Unassailable*,0 (self),caster,1 rnd/lvl,N,"For the Duration, if the caster is wielding a shield, attacks against them do not gain any positional bonus (including bonuses from the Prone, Flanking, or On Rear Conditions), and their Parry applies to all creatures Engaged with them.",,,,heroic-defense,,,,,
Heroic Defense,9th,Riposte*,0 (self),caster,1 rnd,N,"For the rest of the Round, if the caster is wielding a shield, each time a melee attack misses them, they can immediately make a shield bash attack against the creature who attacked them as a Free Action. This attack is resolved on the Blunt Weapon Attack Table, with a maximum result of 140, using the caster's Heroic Defense Skill Bonus as its CMB.",,,,heroic-defense,,,,,
Heroic Defense,10th,Defiance*,0 (self),caster,1 rnd/lvl,N,"For the Duration, the caster doesn't Bleed (bleeding will start again as soon as this Spell ends); cannot be Stunned, Held, or knocked Prone; and ignores the effects of the Weary Condition and Exhaustion. This spell immediately ends if the caster moves more than half their Move Rate in a single Round. Illusions Creating fake illusory artifacts, from deceptive mirages to ghostly sounds, misleading the sight and senses of living beings into believing their existence.",,,,heroic-defense,,,,,
Illusions,1st,Phantom Sound,30 m,3 m radius,10 min/lvl,N,"This Spell creates an illusory sound seemingly emanating from a point in the Area of Effect. It can be as low as a whisper or as loud as a normal conversation. If the sound is a voice, it must be in a language the caster knows.",+1 Weave: the caster can Concentrate to move the point of origin of the sound within Range.,,,illusions,,,,,
Illusions,2nd,Chameleon,3 m,1 target,24 hrs,N,"This Spell masks the presence of target static object or creature, making it very difficult to see for the Duration. Observers won't be able to see the target unless they're actively searching the area. In this case, they can make a WSR to resist the effects of this Spell. This Spell immediately ends if the target moves.",+4 Weave: add one target.,,,illusions,,,,,
Illusions,3rd,Mirage,30 m,3 m radius,10 min/lvl,N,"This Spell creates an illusory static image or scene in the Area of Effect. The illusion is purely visual and doesn't cover sound, touch, or other senses. Objects and creatures can simply pass through it without encountering any resistance.",+3 Weave: increase Area of Effect by 3 meters.,+3 Weave: increase Range by 30 meters.,+3 Weave: increase Duration by 10 minutes per Level.,illusions,,,,,
Illusions,4th,Invisibility,3 m,1 target,24 hrs,N,"Target creature and anything it carries or wields is made completely invisible for the Duration. This Spell immediately ends if the target attacks, casts a Spell, or is struck by a physical attack.",+2 Weave: the Spell doesn't end if the target casts a Spell (it will still end if they attack or are struck by a pshysical attack).,+4 Weave: add one target. Weave Spell Range Area of Effect Duration Save,,illusions,,,,,
Illusions,5th,Decoy*,0 (self),caster,1 rnd/lvl,N,"This Spell creates an illusory decoy that looks and sounds exactly like the caster. The decoy moves around the caster, mimicking their actions and echoing their words. Each attack directed against the caster has an equal chance of hitting them or a decoy. If a decoy is hit, it is destroyed and vanishes. This Spell ends immediately when all decoys are destroyed.",+3 Weave: the Spell creates one more decoy.,,,illusions,,,,,
Illusions,6th,Disguise,3 m,1 target,1 hr/lvl,N,"This Spell changes the appearance of target creature, making them look and sound like someone else. This spell can make the target look slightly smaller or bigger (within 20% of their actual size), or appearing as a member of a different Kin, but cannot radically change the target's type of creature. It cannot, for example, change the appearance of a Man into that of a Wolf, but could make a Horse appear as a Camel or an Elf look like a Dwarf. The Spell changes the sound of the target's voice, but doesn't give them the ability to speak a language they don't know. This illusion only affects the senses of sight and hearing, so creatures using other senses won't be fooled by it.",,,,illusions,,,,,
Illusions,7th,Illusion,30 m,3 m radius,10 min/lvl,N,"This Spell creates an illusory image or scene in the Area of Effect. The illusion is very convincing, affecting the senses of sight, hearing, and smell. However, it's intangible and cannot damage creatures interacting with it. The caster can move the illusion as they wish (as long as it remains within Range) by Concentrating. Otherwise, the illusion will remain static. The sounds reproduced by the illusion can be as loud as a dragon's roar. If they're voices, they must be in a language known by the caster.",+3 Weave: increase Area of Effect by 3 meters.,+3 Weave: increase Range by 30 meters.,+3 Weave: increase Duration by 10 minutes per Level.,illusions,,,,,
Illusions,8th,Maddening Wail,0 (self),15 m radius,1 rnd/lvl,Y,"The caster emits a disturbing, high pitched wail that rattles everyone near them. Creatures within the Area of Effect must pass a Save Roll at the beginning of each Assessment Phase or be Stunned. Animals that fail this Save Roll will instead flee from the caster at their maximum speed for the Duration. Deaf and mindless creatures aren't affected by this Spell.",,,,illusions,,,,,
Illusions,9th,Crippling Gaze,20 m,1 target,1 rnd/5 fail,Y,"The target believes they have been struck by an attack causing them a terrible injury. Roll a Grievous Critical Strike of a type chosen by the caster. Target will suffer its effects (damage, conditions, bleeding, penalties, etc) for 1 Round for every 5 points of failure in their WSR. Once the Duration expires, the target will realize they've been fooled and all damage caused by the Spell will vanish. If the target “dies” as a result of the Critical Strike, they'll fall unconscious for the Duration instead.",,,,illusions,,,,,
